## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Kiryukhin.idf
## Date:	25.04.2013 01:01:00
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Kiryukhin                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	13717                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
10078885873	SMP	1	178.0762	123.2625	77.9941	78.9917	148.9289	135.9198	204.9390	341.4774	0	955	43
10078905788	SMP	1	178.2295	123.3186	76.9821	78.9848	148.9968	135.9950	204.8316	341.2832	0	956	43
10078925835	SMP	1	178.3918	123.5175	76.9783	77.9894	149.1453	135.9188	204.4983	342.0147	0	965	44
10078945765	SMP	1	178.5167	124.3891	76.9865	74.9991	149.2677	135.4149	203.9406	351.7653	0	997	44
10078966952	SMP	1	177.2451	131.4511	76.9777	57.6883	149.5773	134.6732	207.0452	426.5083	0	952	45
10078985783	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	360	45
10079005667	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	388	46
10079025663	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	364	46
10079045690	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	410	47
10079066716	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	507	47
10079085670	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	373	48
10079105532	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	387	48
10079125677	SMP	1	176.6157	143.5828	36.8446	33.9859	149.1891	131.5628	203.3485	563.5778	0	883	49
10079145534	SMP	1	181.5170	138.4122	43.9464	44.9514	148.9707	132.4220	165.9829	507.5548	0	879	49
10079165828	SMP	1	179.6676	134.8401	66.9875	52.9293	148.8268	132.8513	180.9424	472.2062	0	891	50
10079185535	SMP	1	176.6517	131.0478	75.9867	54.9600	148.8076	133.4645	207.8633	433.6833	0	957	50
10079205550	SMP	1	176.7865	128.3916	76.9939	59.9706	148.8073	133.4701	209.3672	409.9488	0	899	51
10079225401	SMP	1	177.1658	126.8013	76.9971	64.9889	148.9936	133.9792	209.4204	391.7395	0	981	51
10079245429	SMP	1	177.3936	125.8698	76.9963	66.9941	148.9331	134.0796	208.8429	384.3030	0	1015	52
10079266464	SMP	1	177.6509	124.8163	76.9937	68.9964	148.8034	134.1079	207.3878	374.8010	0	1195	52
10079285432	SMP	1	177.4288	124.2911	77.9821	70.9893	148.7004	134.5771	206.8921	365.9298	0	1014	53
10079305421	SMP	1	177.2571	123.6792	77.9910	71.9909	148.5135	134.4966	206.7608	360.8126	0	958	53
10079325556	SMP	1	177.2339	123.5092	77.9910	72.9834	148.4937	134.6644	206.9726	357.5343	0	951	54
10079345279	SMP	1	177.2162	123.1711	77.9988	72.9914	148.4929	134.6562	207.3930	354.6030	0	947	54
10079366349	SMP	1	177.0711	123.0134	77.9969	73.9869	148.4992	134.6621	208.0532	352.4060	0	981	55
10079385269	SMP	1	177.2115	122.7120	77.9861	74.9881	148.4878	134.8272	208.2307	349.3032	0	959	55
