## [iView]
## Converted from:	D:\Yarbus2.idf
## Date:	08.02.2014 09:47:06
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3598                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject: SUBJ2                                                                                                                                                                                                                                              
## Description:	skolko ne bil doma                                                                                                                                                                                                                                              
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14122260531	SMP	1	538.8102	639.0852	792.8612	624.6056	11.0827	11.0827	11.5129	11.5129	537.3158	645.1940	542.5298	645.1211	790.1687	630.3222	795.1945	630.2929	603.4548	399.8408	603.4548	399.8408	0	1568	0	0	3	-25.6941	-34.1783	652.0776	39.1537	-30.3312	651.3142	0.0148	0.3613	-0.9323	-0.0762	0.3460	-0.9351	-1	
14122268856	SMP	1	538.9305	638.8771	792.8987	624.4737	11.0784	11.0784	11.4830	11.4830	537.3400	645.1612	542.5638	645.0771	790.3702	630.2778	795.2107	630.2459	604.3658	397.1547	604.3658	397.1547	0	1737	0	0	3	-25.6315	-34.0950	650.6768	39.2695	-30.3878	652.7804	0.0211	0.3693	-0.9291	-0.0809	0.3506	-0.9330	-1	
14122277243	SMP	1	539.0010	638.9500	792.8395	624.4527	11.3224	11.3224	11.5596	11.5596	537.5634	645.1682	542.6061	645.0885	790.3950	630.2750	795.2306	630.2543	604.1481	395.4523	604.1481	395.4523	0	1481	0	0	3	-25.5924	-34.0910	650.5528	39.3536	-30.4492	654.0820	0.0167	0.3660	-0.9305	-0.0865	0.3522	-0.9319	-1	
14122285515	SMP	1	539.0369	639.0069	792.9639	624.4294	11.3521	11.3521	11.4316	11.4316	537.8952	645.1631	542.8395	645.0820	790.4287	630.2345	795.4121	630.2268	601.2236	394.5764	601.2236	394.5764	0	1530	0	0	3	-25.5375	-34.1131	651.0027	39.3838	-30.4420	654.1187	-0.0011	0.3634	-0.9316	-0.0855	0.3517	-0.9322	-1	
14122293868	SMP	1	539.1023	638.9452	792.9644	624.4513	11.2033	11.2033	11.5898	11.5898	537.9112	645.1675	542.8532	645.0815	790.4466	630.2195	795.4098	630.2212	599.6500	392.9380	599.6500	392.9380	0	1619	0	0	3	-25.5494	-34.1346	651.4021	39.3877	-30.4409	654.1513	0.0023	0.3668	-0.9303	-0.0860	0.3502	-0.9327	-1	
14122302277	SMP	1	539.0686	638.9852	793.0361	624.3987	11.3008	11.3008	11.4503	11.4503	537.8960	645.1712	542.8379	645.0823	790.4235	630.2292	795.3989	630.2357	599.4007	391.6660	599.4007	391.6660	0	1475	0	0	3	-25.5672	-34.1537	651.7567	39.3851	-30.4454	654.1802	0.0011	0.3651	-0.9310	-0.0798	0.3534	-0.9321	-1	
14122310612	SMP	1	539.1094	638.9414	792.9774	624.3850	11.2358	11.2358	11.7053	11.7053	537.8902	645.1570	542.8024	645.0830	790.3937	630.1947	795.2206	630.1938	600.2202	390.2469	600.2202	390.2469	0	3711	0	0	3	-25.6068	-34.1979	652.6313	39.4269	-30.4889	655.3248	0.0052	0.3673	-0.9301	-0.0765	0.3527	-0.9326	-1	
14122318886	SMP	1	538.9673	638.8691	792.8385	624.2426	11.1023	11.1023	11.5509	11.5509	537.5267	645.1075	542.5886	645.0369	790.1565	630.1470	795.1707	630.1578	602.4079	388.2665	602.4079	388.2665	0	1806	0	0	3	-25.6676	-34.1675	652.2881	39.3504	-30.4472	654.6628	0.0159	0.3682	-0.9296	-0.0761	0.3572	-0.9309	-1	
14122327248	SMP	1	538.9507	638.9423	792.7892	624.3160	11.4460	11.4460	11.5681	11.5681	537.2964	645.1593	542.5574	645.0684	790.1030	630.1789	795.1330	630.1682	604.6628	387.5248	604.6628	387.5248	0	1609	0	0	3	-25.6233	-34.0741	650.3037	39.3033	-30.4253	654.0751	0.0246	0.3653	-0.9306	-0.0765	0.3545	-0.9319	-1	
14122335619	SMP	1	538.8791	638.8718	792.6371	624.4092	11.0731	11.0731	11.5947	11.5947	537.2707	645.1547	542.5065	644.9003	790.0883	630.1992	795.0875	630.1819	604.4000	387.6682	604.4000	387.6682	0	1493	0	0	3	-25.5856	-33.9890	649.1019	39.2978	-30.4314	654.1127	0.0224	0.3639	-0.9312	-0.0850	0.3507	-0.9326	-1	
14122343987	SMP	1	538.7563	638.9094	792.6688	624.3811	11.2511	11.2511	11.9366	11.9366	537.1942	645.1058	542.4595	644.8388	790.0355	630.1508	795.0333	630.1198	604.6426	388.9597	604.6426	388.9597	0	1630	0	0	3	-25.5373	-33.8898	647.4752	39.2860	-30.4187	654.1462	0.0186	0.3584	-0.9334	-0.0791	0.3496	-0.9336	-1	
14122352246	SMP	1	538.0267	638.6222	791.6008	623.9295	11.5046	11.5046	11.6004	11.6004	537.0606	644.9811	542.0169	644.7380	789.5194	629.9003	794.7506	630.0563	582.4098	385.3471	582.4098	385.3471	0	1509	0	0	3	-25.6418	-33.9028	648.2702	39.0848	-30.3016	652.4979	-0.0136	0.3685	-0.9295	-0.1246	0.3616	-0.9240	-1	
14122360630	SMP	1	537.4600	638.2286	790.6584	623.5593	11.4663	11.4663	11.7058	11.7058	537.0123	644.5076	541.8906	644.4806	789.0644	629.6823	793.9857	629.6250	518.8489	382.3736	518.8489	382.3736	0	1614	0	0	3	-25.7141	-33.8756	649.5360	38.9738	-30.2543	653.2728	-0.0483	0.3710	-0.9274	-0.1468	0.3632	-0.9201	-1	
14122368996	SMP	1	537.1171	638.1362	790.1162	623.3123	11.3649	11.3649	11.9014	11.9014	536.9273	644.4443	541.6181	644.4322	788.5382	629.5505	793.7360	629.3411	498.1562	378.0793	498.1562	378.0793	0	1646	0	0	3	-25.8708	-34.0076	652.3393	38.7823	-30.1291	651.7232	-0.0609	0.3744	-0.9253	-0.1570	0.3639	-0.9181	-1	
14122377389	SMP	1	537.0295	638.0589	789.9798	623.0472	11.3135	11.3135	11.6754	11.6754	536.8963	644.4300	541.5928	644.4289	788.4772	629.4856	793.2501	629.3205	495.8215	365.1855	495.8215	365.1855	0	1512	0	0	3	-25.9768	-34.1351	654.8280	38.8291	-30.2099	653.7044	-0.0661	0.3793	-0.9229	-0.1473	0.3756	-0.9150	-1	
14122385617	SMP	1	537.0139	638.1457	790.0455	623.0447	11.5163	11.5163	11.8165	11.8165	536.5656	644.5369	541.5612	644.4838	788.4973	629.5070	793.6668	629.3014	494.7406	360.0518	494.7406	360.0518	0	1490	0	0	3	-26.0226	-34.1542	654.7980	38.7909	-30.1361	652.1064	-0.0539	0.3789	-0.9239	-0.1577	0.3746	-0.9137	-1	
14122393969	SMP	1	536.9479	638.3131	790.0992	623.2034	11.3888	11.3888	11.9052	11.9052	536.4852	644.6447	541.4943	644.5721	788.5017	629.5936	793.6946	629.3539	494.8854	361.3911	494.8854	361.3911	0	1670	0	0	3	-26.0406	-34.1781	654.7713	38.7107	-30.0884	650.6877	-0.0531	0.3752	-0.9254	-0.1552	0.3699	-0.9160	-1	
14122402416	SMP	1	536.8351	638.2875	790.1862	623.3368	11.3846	11.3846	11.8321	11.8321	536.2442	644.7543	541.4476	644.6393	788.4704	629.6474	793.4599	629.5344	499.6319	356.5760	499.6319	356.5760	0	1505	0	0	3	-26.0101	-34.1117	653.0680	38.7012	-30.1379	651.1066	-0.0507	0.3803	-0.9235	-0.1403	0.3699	-0.9184	-1	
14122410748	SMP	1	536.7525	638.3483	790.0384	623.4442	11.2874	11.2874	11.7522	11.7522	536.1811	644.8014	541.4105	644.6632	788.4348	629.6722	793.3759	629.5858	498.6004	356.6193	498.6004	356.6193	0	3722	0	0	3	-25.9627	-34.0418	651.5558	38.7078	-30.1649	651.4785	-0.0525	0.3782	-0.9242	-0.1463	0.3667	-0.9188	-1	
14122419174	SMP	1	536.7010	638.2183	789.9651	623.2836	11.3193	11.3193	11.6080	11.6080	536.1411	644.7334	541.3821	644.6335	788.4118	629.6330	793.1708	629.4804	499.3112	350.9600	499.3112	350.9600	0	1911	0	0	3	-25.9180	-33.9592	650.2133	38.7975	-30.2394	653.4871	-0.0537	0.3818	-0.9227	-0.1435	0.3718	-0.9172	-1	
14122427381	SMP	1	536.6347	638.4453	790.0160	623.4612	11.3783	11.3783	11.7868	11.7868	536.1422	645.0223	541.3758	644.6922	788.4412	629.7174	793.1596	629.6797	499.4084	350.1318	499.4084	350.1318	0	1578	0	0	3	-25.8711	-33.9413	649.0213	38.9057	-30.3585	655.2703	-0.0578	0.3785	-0.9238	-0.1408	0.3711	-0.9179	-1	
14122435735	SMP	1	536.8905	638.3520	789.9685	623.5600	11.2181	11.2181	11.7396	11.7396	536.1829	645.1041	541.3865	644.7627	788.4581	629.8029	793.2070	629.9833	501.6020	345.4447	501.6020	345.4447	0	1534	0	0	3	-25.8224	-33.9054	647.9631	39.0080	-30.4822	656.8532	-0.0415	0.3866	-0.9213	-0.1462	0.3762	-0.9149	-1	
14122444100	SMP	1	536.8627	638.4858	790.0368	623.6015	11.3715	11.3715	11.8334	11.8334	536.2286	645.1370	541.4377	644.7992	788.4777	629.8516	793.4862	630.0039	499.5269	344.3165	499.5269	344.3165	0	1742	0	0	3	-25.7726	-33.8651	647.0236	39.0309	-30.4783	656.5801	-0.0465	0.3810	-0.9234	-0.1519	0.3755	-0.9143	-1	
14122452394	SMP	1	536.8900	638.5683	790.0349	623.5990	11.4250	11.4250	11.7278	11.7278	536.2715	645.1584	541.4759	644.8163	788.5254	629.8684	793.7157	630.0209	498.2129	343.4234	498.2129	343.4234	0	1583	0	0	3	-25.7290	-33.8264	646.1896	38.9527	-30.3934	654.6593	-0.0470	0.3773	-0.9249	-0.1613	0.3752	-0.9128	-1	
14122460660	SMP	1	536.9696	638.5018	790.1993	623.6824	11.2966	11.2966	11.9417	11.9417	536.3127	645.1841	541.5066	644.8389	788.5501	629.8867	793.7466	630.0322	500.1322	342.6011	500.1322	342.6011	0	2110	0	0	3	-25.6904	-33.7937	645.4491	38.8584	-30.3180	652.9539	-0.0440	0.3816	-0.9233	-0.1521	0.3715	-0.9159	-1	
14122469098	SMP	1	536.8796	638.6280	790.1778	623.7558	11.4380	11.4380	11.9204	11.9204	536.3259	645.2202	541.5200	645.0931	788.5759	630.1528	793.7691	630.0880	500.2670	342.7673	500.2670	342.7673	0	1586	0	0	3	-25.6609	-33.7961	644.7916	38.7745	-30.2890	651.4398	-0.0513	0.3824	-0.9226	-0.1549	0.3749	-0.9140	-1	
14122477507	SMP	1	536.9424	638.7145	790.2439	623.8385	11.4427	11.4427	11.8476	11.8476	536.3162	645.2335	541.5064	645.1077	788.5575	630.1801	793.7475	630.1183	501.7353	344.2183	501.7353	344.2183	0	1606	0	0	3	-25.6406	-33.7691	644.2080	38.6894	-30.2338	650.0957	-0.0456	0.3783	-0.9246	-0.1490	0.3720	-0.9162	-1	
14122485793	SMP	1	536.9045	638.6336	790.1630	623.7611	11.4614	11.4614	11.8122	11.8122	536.2633	645.2251	541.4563	645.0939	788.5193	630.1750	793.6823	630.1082	502.5998	343.5532	502.5998	343.5532	0	1537	0	0	3	-25.6330	-33.7391	643.6898	38.6384	-30.2024	649.4618	-0.0447	0.3816	-0.9232	-0.1508	0.3749	-0.9147	-1	
14122494119	SMP	1	536.1367	638.5824	789.3191	623.7577	11.5950	11.5950	12.1367	12.1367	536.1016	645.1563	541.0089	645.0484	788.0718	630.1024	793.0346	630.0609	493.5839	343.3364	493.5839	343.3364	0	1628	0	0	3	-25.7809	-33.8181	645.4689	38.5310	-30.2131	650.0182	-0.0782	0.3825	-0.9207	-0.1705	0.3718	-0.9125	-1	
14122502515	SMP	1	535.1314	638.2051	787.9410	623.3140	11.7191	11.7191	12.0790	12.0790	535.6231	645.0883	540.8181	644.9745	787.1631	629.8536	792.1125	629.9854	409.6990	334.8832	409.6990	334.8832	0	1631	0	0	3	-25.8399	-33.7653	644.8091	38.3258	-30.1946	650.5128	-0.1265	0.3977	-0.9087	-0.2005	0.3836	-0.9015	-1	
14122510918	SMP	1	534.6716	638.1079	787.1076	622.9650	11.3431	11.3431	11.8241	11.8241	535.1805	645.0351	540.3464	644.7140	786.6017	629.7304	791.8096	629.6729	389.7744	327.7095	389.7744	327.7095	0	3759	0	0	3	-25.9548	-33.7241	644.7830	38.1428	-30.0812	649.2737	-0.1263	0.3946	-0.9101	-0.2264	0.3876	-0.8936	-1	
14122519197	SMP	1	534.4099	638.0284	786.5293	623.0641	11.4275	11.4275	11.9773	11.9773	535.1019	644.9978	539.9874	644.9139	786.5035	629.6529	791.4522	629.5309	371.8214	321.2710	371.8214	321.2710	0	1860	0	0	3	-26.0769	-33.8316	646.4392	38.1181	-30.0801	649.8523	-0.1305	0.4038	-0.9055	-0.2495	0.3769	-0.8920	-1	
14122527513	SMP	1	534.4466	638.0733	786.8549	622.9631	11.3984	11.3984	11.7524	11.7524	535.1109	645.0245	539.9942	644.9400	786.5708	629.6313	791.7637	629.5266	371.7965	314.6927	371.7965	314.6927	0	1590	0	0	3	-26.1342	-33.9153	647.9095	38.0985	-30.0227	648.6875	-0.1290	0.4037	-0.9058	-0.2404	0.3809	-0.8928	-1	
14122535874	SMP	1	534.3998	637.9185	786.9788	623.0700	11.4428	11.4428	12.0353	12.0353	535.1056	644.9610	540.0041	644.6898	786.6750	629.5816	791.8976	629.3817	368.9289	316.7444	368.9289	316.7444	0	1573	0	0	3	-26.1862	-33.9436	649.2150	38.0682	-29.9500	647.6533	-0.1330	0.4042	-0.9049	-0.2403	0.3710	-0.8970	-1	
14122544251	SMP	1	534.3095	638.0563	786.9802	622.9307	11.4225	11.4225	12.1238	12.1238	535.1232	644.6922	540.2675	644.6006	786.7106	629.5088	791.8998	629.3425	363.0219	322.5544	363.0219	322.5544	0	1698	0	0	3	-26.1297	-33.8705	648.6946	38.0190	-29.8933	646.7352	-0.1484	0.3873	-0.9099	-0.2411	0.3743	-0.8954	-1	
14122552502	SMP	1	534.2854	637.9297	786.9226	622.8606	11.3145	11.3145	12.0225	12.0225	535.1088	644.5428	540.2342	644.5299	786.7042	629.4054	791.8803	629.2785	359.9191	321.4404	359.9191	321.4404	0	1547	0	0	3	-26.1171	-33.8183	648.2326	37.9678	-29.8344	645.9201	-0.1482	0.3879	-0.9097	-0.2438	0.3731	-0.8952	-1	
